contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
contig_1	2568	NA	48488.765989623564	5.296072085129045	medium	7.94921313727752	14	CheckV-041012	87.0	12.3	5.399661426844014	6.227521160822247	2	1.0
contig_1002	1736	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_1003	1842	NA	14317.629462986168	12.865258210249994	high	3.8458045310056	12	CheckV-013268	63.42	84.88	NA	NA	0	1.0
contig_1004	2316	NA	190409.89633557037	1.2163233343283688	low	18.8069420012078	19	CheckV-000035	30.5	59.78	0.92	1.68	1	1.0
contig_1005	2675	NA	36192.20107367061	7.391095099618107	high	4.93937043075139	61	CheckV-013810	48.06	52.27	3.1239078907025535	8.02618633751552	3	1.0
contig_1006	43357	NA	46291.28926241337	93.66124964509059	low	26.0831970943911	6	CheckV-008373	27.63	9.45	46.86386411632795	100.00000000000001	9	1.0
contig_1007	36319	NA	48208.04659139723	75.33804534299708	low	26.0831970943911	52	CheckV-009716	30.54	11.93	48.81719744358259	95.386206627525	18	1.0
contig_1008	2228	NA	33513.0	6.648166383194582	high	3.91864795187625	1	CheckV-040977	78.55	43.88	NA	NA	0	1.0
contig_1009	2645	NA	59883.03801308617	4.416943574943528	medium	7.90591497421755	15	CheckV-056750	49.4	40.06	3.76	6.19	1	1.0
contig_101	18777	NA	37218.58972835314	50.450595084465746	high	2.7709732648492	4	CheckV-019372	81.64	23.35	23.116770527065494	54.55486979790985	7	1.0
contig_1010	14766	NA	38014.438219321484	38.84313616528714	medium	7.72496529642426	17	CheckV-014887	60.25	17.52	19.459352984451247	42.96060612812997	4	1.0
contig_1011	7212	NA	46589.56810743097	15.47986017678858	low	11.1328258931633	18	CheckV-048620	50.52	27.09	12.51452211065085	17.960003253160988	3	1.0
contig_1012	5344	NA	48836.0	10.942747153739045	low	27.3298538986542	1	CheckV-035808	34.7	10.35	9.61	14.67	1	1.0
contig_1013	3407	NA	18067.0	18.85758565340123	medium	9.82267274135623	1	CheckV-007587	45.3	46.17	NA	NA	0	1.0
contig_1015	9475	NA	18067.0	52.44368185088836	high	1.90864960282436	1	CheckV-007587	91.83	89.47	2.84	23.18	1	1.0
contig_1016	5614	NA	18202.552744460256	30.84182795025032	high	2.94453330219986	2	CheckV-007587	87.88	45.43	9.018818041727032	22.44579085483568	6	1.0
contig_1017	5706	NA	18215.2096964539	31.32546973154436	high	2.51545283525934	2	CheckV-007587	97.02	65.68	9.5246320816051	23.38148925074017	5	1.0
contig_1019	29669	NA	29042.708882819366	100.0	high	2.94629485362883	15	CheckV-032467	89.33	39.97	60.34742366674762	98.50309309938922	7	1.0
contig_102	16498	NA	15035.47250947146	100.0	medium	7.7631262437403	9	CheckV-018557	59.32	14.44	NA	NA	0	1.0
contig_1020	13312	NA	36559.96250496772	36.41141589844678	low	44.9894484686021	57	CheckV-040659	86.66	15.24	14.382527804933275	39.142135672148825	5	1.0
contig_1021	15099	NA	14449.13468267549	100.0	high	2.7511268660516	6	CheckV-018431	85.2	47.84	17.086320166320167	75.61348232848232	2	1.0
contig_1022	8047	NA	36540.84966927164	22.021929081651805	medium	9.64299623523303	36	CheckV-061771	73.98	16.33	16.570117893289584	23.040818161255817	4	1.0
contig_1023	2687	NA	56111.57870272555	4.788672965762559	low	17.1259981821213	2	CheckV-013827	47.1	17.11	1.71	6.9799999999999995	1	1.0
contig_1024	14400	NA	14827.424927341828	97.11733541436682	medium	5.57150768094838	6	CheckV-019177	75.99	19.92	19.9376699949745	68.97181240226095	4	1.0
contig_1025	2302	NA	100570.46904846125	2.2889422926831036	low	18.8068221050936	3	CheckV-027942	39.6	24.58	1.21	2.38	1	1.0
contig_1026	16895	NA	20817.565580386417	81.157424170278	low	12.5893824485374	4	CheckV-019387	46.6	14.65	24.12291436338535	57.227900845685504	9	1.0
contig_1027	6838	NA	111509.98423375493	6.132186321240717	medium	7.1940049958368	6	CheckV-013277	64.58	28.18	5.06	6.64	1	1.01
contig_1028	23869	NA	49679.366351672325	48.04610395196096	low	27.4427620025844	10	CheckV-004279	35.0	7.08	NA	NA	0	1.0
contig_1029	8033	NA	34126.687843955355	23.538762497934105	high	4.1519771319676	9	CheckV-017548	77.41	36.68	17.521884221273275	24.309935627853445	4	1.0
contig_103	16445	NA	17409.932481536667	94.45757482081	medium	5.94766695205479	4	CheckV-019387	54.69	25.82	29.87573954813951	56.87592612726899	6	1.0
contig_1030	2846	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_1031	18289	NA	38578.42616486224	47.40732533215124	low	14.1695212703127	21	CheckV-061861	54.89	10.79	15.3421327014218	51.73235071090047	2	1.0
contig_1032	12196	NA	36841.82126742884	33.103683749701744	high	3.30400430957084	94	CheckV-016891	71.88	28.17	15.629767035975608	35.959254310038915	7	1.0
contig_1033	15904	NA	17152.20021851953	92.722798226365	medium	8.85247539591347	3	CheckV-019387	56.39	16.77	18.549769181933275	57.163072540986505	7	1.0
contig_1034	18402	NA	47504.243683002176	38.73759178821438	low	11.4429041549327	8	CheckV-007221	38.16	21.85	16.853113143454124	51.504431701414816	6	1.02
contig_1035	4478	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_1036	6924	NA	54937.23353530032	12.603474100221908	low	15.8221246969266	7	CheckV-019078	54.8	16.53	10.85	17.34	1	1.0
contig_1037	38696	NA	33290.327726911695	100.0	low	30.1053876760942	4	CheckV-061600	58.93	5.55	58.331999999999994	93.51983050847457	2	1.0
contig_1038	10788	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
contig_104	16758	NA	17195.321064453125	97.45674382691712	medium	5.6581529369062	3	CheckV-019387	55.38	35.36	19.891125275204843	59.68260810355867	8	1.0
contig_1040	14240	NA	14393.218834798214	98.93547901580028	medium	5.46022522645373	2	CheckV-061785	60.61	23.07	20.818112947658403	60.05661157024794	2	1.0
contig_1041	2357	NA	NA	NA	NA	NA	0	NA	NA	NA	5.25	7.21	1	1.0
contig_1042	36454	NA	41003.68564495846	88.90420318711556	medium	5.44882070071994	5	CheckV-008847	59.11	11.99	58.42689579721384	94.0844258700636	10	1.0
contig_1045	3312	NA	43876.09678378377	7.54852925118008	medium	6.27705627705628	79	CheckV-041030	63.37	41.72	3.253417085427136	9.70814070351759	2	1.0
