#seq_name	length	coverage
contig_1	2432	3
contig_10	1063	12
contig_100	6469	3
contig_109	11662	8
contig_11	12265	7
contig_110	10605	8
contig_111	27778	3
contig_112	4996	8
contig_114	15313	7
contig_115	7041	4
contig_116	4284	4
contig_117	15197	3
contig_118	2687	3
contig_119	27383	5
contig_12	12476	5
contig_120	3041	5
contig_121	3300	4
contig_122	15912	4
contig_123	6995	3
contig_124	4036	3
contig_125	17556	3
contig_128	40825	5
contig_129	14257	3
contig_13	2694	7
contig_130	8543	8
contig_131	17402	24
contig_132	20709	4
contig_133	21888	4
contig_134	5338	6
contig_135	14082	6
contig_136	7749	4
contig_137	14509	6
contig_138	6185	8
contig_139	11199	3
contig_140	25471	3
contig_141	17669	3
contig_142	7012	4
contig_143	36662	5
contig_147	2756	3
contig_148	3359	4
contig_149	5494	4
contig_150	6565	6
contig_151	2239	3
contig_152	12803	3
contig_153	16800	5
contig_154	7688	3
contig_155	27514	4
contig_156	27993	7
contig_157	12974	3
contig_158	4307	4
contig_159	16221	7
contig_16	43669	6
contig_160	24238	7
contig_161	12191	6
contig_162	13389	4
contig_163	2459	7
contig_164	14326	4
contig_165	7082	13
contig_166	2499	4
contig_167	7763	3
contig_168	6067	6
contig_169	31718	11
contig_17	10643	10
contig_173	1665	7
contig_175	2849	3
contig_177	14541	5
contig_178	2611	4
contig_179	17963	4
contig_18	3904	30
contig_180	14275	5
contig_181	15564	5
contig_182	14415	5
contig_183	3291	4
contig_184	14287	10
contig_185	4613	3
contig_186	528	20
contig_187	3334	3
contig_188	14551	16
contig_189	6085	14
contig_19	7875	6
contig_190	38897	5
contig_192	12350	4
contig_193	10505	4
contig_194	2741	4
contig_195	15853	7
contig_196	7942	3
contig_197	6396	6
contig_198	3164	5
contig_199	16213	3
contig_2	41925	5
contig_20	8706	3
contig_200	15128	3
contig_201	14491	6
contig_202	49316	4
contig_203	2799	4
contig_204	4765	3
contig_205	36622	5
contig_207	11271	5
contig_21	58676	6
contig_210	9644	5
contig_211	9874	3
contig_212	7293	4
contig_213	7523	4
contig_214	2539	4
contig_215	2262	8
contig_216	10898	4
contig_217	15473	4
contig_218	2508	3
contig_219	2464	4
contig_220	14056	7
contig_221	6966	5
contig_222	8376	19
contig_223	21153	33
contig_224	6669	17
contig_227	3571	3
contig_230	7777	6
contig_232	2608	5
contig_233	85389	35
contig_234	16224	4
contig_235	2832	4
contig_236	4641	4
contig_237	6343	3
contig_238	39068	4
contig_239	108201	5
contig_24	34117	5
contig_240	15998	4
contig_241	7831	3
contig_242	3004	4
contig_243	10954	3
contig_245	10253	4
contig_246	2542	5
contig_247	29751	4
contig_248	2675	6
contig_249	4274	4
contig_25	13814	5
contig_250	11924	4
contig_251	7307	3
contig_252	16722	3
contig_253	20026	3
contig_254	14208	5
contig_255	2441	4
contig_259	3536	11
contig_26	14437	12
contig_260	35194	41
contig_261	31021	3
contig_263	3162	8
contig_264	33204	3
contig_267	5781	6
contig_268	6031	6
contig_269	36986	4
contig_27	33820	4
contig_270	2896	19
contig_271	31208	4
contig_272	11326	3
contig_275	34820	7
contig_276	30093	3
contig_28	2901	3
contig_280	5126	3
contig_281	6672	3
contig_282	36429	11
contig_283	5294	6
contig_29	2968	5
contig_3	6001	25
contig_30	14873	6
contig_31	16579	3
contig_32	5147	3
contig_33	19216	3
contig_34	40407	3
contig_35	20716	3
contig_36	6049	4
contig_37	6303	11
contig_4	2508	9
contig_41	14699	13
contig_42	5074	5
contig_43	8915	3
contig_44	15919	11
contig_45	37341	5
contig_46	2779	6
contig_47	3874	3
contig_48	22818	5
contig_49	6525	4
contig_5	15385	20
contig_50	17010	4
contig_51	12694	6
contig_52	30779	3
contig_54	13011	17
contig_55	9909	4
contig_56	12299	8
contig_58	10774	5
contig_6	37356	15
contig_60	4148	8
contig_62	7889	3
contig_63	46153	5
contig_64	8070	8
contig_66	4325	6
contig_67	27123	4
contig_69	31813	8
contig_7	2899	8
contig_70	16120	8
contig_71	10955	9
contig_72	11025	5
contig_73	27032	8
contig_74	8473	10
contig_75	5500	9
contig_76	5281	3
contig_77	2823	3
contig_78	37794	6
contig_8	5704	4
contig_81	15827	6
contig_82	14853	5
contig_89	7580	9
contig_9	8818	4
contig_90	6694	4
contig_91	10757	6
contig_92	11246	4
contig_93	2881	7
contig_94	17050	5
contig_95	33196	3
contig_96	33468	10
contig_97	2579	5
