#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_239	108201	5	N	N	1	*	*,239,*
contig_233	85389	35	Y	N	7	*	233
contig_21	58676	6	N	N	1	*	*,21,*
contig_202	49316	4	N	N	1	*	*,202,*
contig_63	46153	5	N	N	1	*	-62,-61,63,*
contig_16	43669	6	N	N	1	*	*,16,*
contig_2	41925	5	N	N	1	*	*,2,*
contig_128	40825	5	N	N	1	*	*,128,*
contig_34	40407	3	N	N	1	*	*,34,*
contig_238	39068	4	N	N	1	*	*,238,*
contig_190	38897	5	N	N	1	*	*,190,*
contig_78	37794	6	N	N	1	*	*,78,*
contig_6	37356	15	Y	N	3	*	6
contig_45	37341	5	N	N	1	*	*,45,*
contig_269	36986	4	Y	N	1	*	269
contig_143	36662	5	N	N	1	*	*,143,*
contig_205	36622	5	N	N	1	*	*,205,*
contig_282	36429	11	Y	N	1	*	282
contig_260	35194	41	Y	N	8	*	260
contig_275	34820	7	Y	N	1	*	275
contig_24	34117	5	Y	N	1	*	24
contig_27	33820	4	N	N	1	*	*,27,*
contig_96	33468	10	N	N	1	*	*,96,*
contig_264	33204	3	Y	N	1	*	264
contig_95	33196	3	N	N	1	*	*,95,*
contig_69	31813	8	N	N	1	*	*,-68,69,*
contig_169	31718	11	N	Y	1	*	169
contig_271	31208	4	Y	N	1	*	271
contig_261	31021	3	Y	N	1	*	261
contig_52	30779	3	N	Y	1	12	*,52,*
contig_276	30093	3	Y	Y	1	*	276
contig_247	29751	4	N	N	1	*	*,247,*
contig_156	27993	7	N	N	1	*	*,156,*
contig_111	27778	3	Y	Y	1	*	111
contig_155	27514	4	N	N	1	*	*,155,*
contig_119	27383	5	N	N	1	*	*,119,*
contig_67	27123	4	N	N	1	*	*,67,-107,*
contig_73	27032	8	N	N	1	*	*,73,*
contig_140	25471	3	N	N	1	*	*,140,*
contig_160	24238	7	N	N	1	*	*,160,*
contig_48	22818	5	N	N	1	*	*,48,*
contig_133	21888	4	N	N	1	*	*,133,*
contig_223	21153	33	N	N	6	*	*,223,*
contig_35	20716	3	N	N	1	*	*,35,*
contig_132	20709	4	N	N	1	*	*,132,*
contig_253	20026	3	N	N	1	*	*,253,*
contig_33	19216	3	N	N	1	*	*,33,*
contig_179	17963	4	N	N	1	*	*,179,*
contig_141	17669	3	N	N	1	*	*,141,*
contig_125	17556	3	N	N	1	*	*,125,*
contig_131	17402	24	N	N	4	*	*,131,*
contig_94	17050	5	N	N	1	*	*,94,*
contig_50	17010	4	N	N	1	*	*,50,*
contig_153	16800	5	N	N	1	*	*,153,*
contig_252	16722	3	N	N	1	*	*,252,*
contig_31	16579	3	N	N	1	*	*,31,*
contig_234	16224	4	N	N	1	*	*,234,*
contig_159	16221	7	N	N	1	*	*,159,*
contig_199	16213	3	N	N	1	*	*,199,*
contig_70	16120	8	N	N	1	*	*,70,*
contig_240	15998	4	N	N	1	*	*,240,*
contig_44	15919	11	N	N	2	*	*,44,*
contig_122	15912	4	N	N	1	*	*,122,*
contig_195	15853	7	N	N	1	*	*,195,*
contig_81	15827	6	N	N	1	*	*,81,*
contig_181	15564	5	N	N	1	*	*,181,*
contig_217	15473	4	N	N	1	*	*,217,*
contig_5	15385	20	N	N	3	*	*,5,*
contig_114	15313	7	N	N	1	*	*,114,*
contig_117	15197	3	N	N	1	*	*,117,*
contig_200	15128	3	N	N	1	*	*,200,*
contig_30	14873	6	N	N	1	*	*,30,*
contig_82	14853	5	N	N	1	*	*,82,*
contig_41	14699	13	N	N	2	*	*,41,*
contig_188	14551	16	N	N	2	*	*,188,*
contig_177	14541	5	N	Y	1	98	177,*
contig_137	14509	6	N	N	1	*	*,137,*
contig_201	14491	6	N	N	1	*	*,201,*
contig_26	14437	12	N	N	2	*	*,26,*
contig_182	14415	5	N	N	1	*	*,182,*
contig_164	14326	4	N	N	1	*	*,164,*
contig_184	14287	10	N	N	1	*	*,184,*
contig_180	14275	5	N	N	1	*	*,180,*
contig_129	14257	3	N	N	1	*	*,129,*
contig_254	14208	5	N	N	1	*	*,254,*
contig_135	14082	6	N	N	1	*	*,135,*
contig_220	14056	7	N	N	1	*	*,220,*
contig_25	13814	5	N	N	1	*	*,25,*
contig_162	13389	4	N	N	1	*	*,162,*
contig_54	13011	17	N	N	3	*	*,54,*
contig_157	12974	3	N	N	1	*	*,157,*
contig_152	12803	3	N	N	1	*	*,152,*
contig_51	12694	6	N	N	1	*	*,51,*
contig_12	12476	5	N	N	1	*	*,12,*
contig_192	12350	4	N	N	1	*	*,192,*
contig_56	12299	8	N	N	1	*	*,56,*
contig_11	12265	7	N	N	1	*	*,11,*
contig_161	12191	6	N	N	1	*	*,161,*
contig_250	11924	4	N	N	1	*	*,250,*
contig_109	11662	8	N	N	1	*	*,109,*
contig_272	11326	3	Y	Y	1	*	272
contig_207	11271	5	N	N	1	*	*,207,*
