#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_21	85036	5	N	N	1	*	*,21,*
contig_242	66900	11	N	N	2	*	*,242,*
contig_152	59884	10	N	N	2	*	152,*
contig_88	58961	4	N	N	1	*	*,88,*
contig_15	56299	6	N	N	1	*	*,15,*
contig_138	52146	7	N	N	1	*	*,138,*
contig_143	47144	10	Y	N	2	*	143
contig_178	44222	3	N	N	1	*	*,178,*
contig_35	43055	4	N	N	1	*	*,35,*
contig_246	42933	7	Y	N	2	*	246
contig_136	42618	4	N	N	1	*	*,136,*
contig_108	42520	8	N	N	2	*	*,108,*
contig_250	42360	8	Y	N	2	*	250
contig_26	41785	6	N	N	1	*	*,26,*
contig_90	41761	3	N	Y	1	*	*,90
contig_145	40825	6	N	N	1	*	*,145,*
contig_244	40349	4	Y	N	1	*	244
contig_224	39769	6	Y	Y	2	*	224
contig_64	38994	8	Y	N	1	*	64
contig_119	38857	3	N	Y	1	*	119
contig_245	38704	6	Y	N	1	*	245
contig_210	38497	4	N	N	1	*	*,210,*
contig_23	38474	4	N	N	1	*	*,23,*
contig_32	37876	3	Y	N	1	*	32
contig_59	37843	4	N	N	1	*	*,59,*
contig_230	37794	4	N	N	1	*	*,230,*
contig_55	37741	3	N	N	1	*	*,55,*
contig_48	36985	4	Y	N	1	*	48
contig_7	36891	12	Y	N	3	*	7
contig_31	36744	3	Y	Y	1	*	31
contig_235	36488	6	N	N	1	*	*,235,*
contig_14	36172	5	N	N	1	*	*,14,*
contig_27	35951	8	N	N	1	*	*,27,*
contig_146	35934	5	N	N	1	*	*,146,*
contig_237	35347	4	Y	N	1	*	237
contig_194	34890	4	N	N	1	*	*,192,194,*
contig_240	34833	5	Y	N	1	*	240
contig_174	33142	4	N	N	1	*	*,174,*
contig_236	33104	3	Y	N	1	*	236
contig_116	32816	5	N	N	1	*	*,116,*
contig_157	32601	3	N	N	1	*	*,157,*
contig_202	31810	6	N	N	1	*	*,202,*
contig_185	31700	4	Y	Y	1	*	185
contig_161	31478	5	N	N	1	*	*,161,*
contig_3	31417	11	Y	N	3	*	3
contig_62	30594	5	N	N	1	*	*,62,*
contig_140	30485	9	N	N	2	*	*,140,*
contig_247	30044	4	Y	N	1	*	247
contig_95	29423	7	N	N	1	*	*,-92,95,-181,-126,132,*
contig_110	29014	3	N	N	1	*	*,110,*
contig_56	28174	6	N	N	1	*	*,56,*
contig_208	27990	7	N	N	1	*	*,208,*
contig_61	27907	6	N	N	1	*	*,61,*
contig_118	27589	4	N	N	1	*	*,118,*
contig_212	27263	7	N	N	1	*	*,212
contig_213	26560	5	N	N	1	*	213,*
contig_89	26405	3	N	Y	1	*	*,89,*
contig_197	26042	3	N	N	1	*	*,197,*
contig_142	25654	7	N	N	1	*	*,142,*
contig_76	25330	3	N	Y	1	54	*,76,*
contig_13	24889	3	N	N	1	*	*,13,*
contig_193	24307	3	N	N	1	*	*,192,193,*
contig_123	24248	3	N	N	1	*	*,123,*
contig_85	24248	4	N	N	1	*	*,85,*
contig_74	23855	9	N	N	1	*	*,74,*
contig_141	23388	3	N	N	1	*	*,141,*
contig_215	23111	5	N	N	1	*	*,215,*
contig_204	22917	4	N	N	1	*	*,204,*
contig_37	21990	3	N	N	1	*	*,37,*
