#seq_name	length	coverage
contig_1	7249	4
contig_6	1542	11
contig_11	1336	4
contig_9	3229	4
contig_7	3730	3
contig_13	1671	9
contig_17	2011	9
contig_8	3789	7
contig_16	5138	4
contig_4	11953	6
contig_19	1773	18
contig_2	16210	4
contig_20	10521	3
contig_12	13043	9
contig_42	2541	3
contig_28	6410	4
contig_29	6308	5
contig_25	2568	16
contig_26	14351	3
contig_10	29287	4
contig_30	11648	3
contig_31	17828	4
contig_48	1460	8
contig_40	15224	3
contig_41	12949	5
contig_18	8902	20
contig_39	6870	6
contig_49	1657	13
contig_32	14350	5
contig_43	15742	6
contig_36	9378	19
contig_50	15262	6
contig_21	27226	3
contig_38	17664	4
contig_37	10145	12
contig_55	8251	5
contig_51	22921	4
contig_27	23741	4
contig_54	12636	11
contig_59	4285	6
contig_53	11337	11
contig_52	17132	9
contig_5	40122	5
contig_60	11522	6
contig_65	11272	5
contig_80	21022	3
contig_57	14345	7
contig_62	10212	12
contig_69	9962	4
contig_71	3181	4
contig_22	40003	4
contig_68	14555	3
contig_72	7055	4
contig_44	35602	6
contig_56	14511	15
contig_35	20621	12
contig_74	3385	8
contig_73	6779	5
contig_70	15402	4
contig_23	38450	6
contig_75	10767	5
contig_76	11581	3
contig_58	41832	8
contig_78	11490	3
contig_77	15628	6
contig_79	2539	18
contig_82	2791	3
contig_64	37518	7
contig_83	1367	4
contig_63	8984	6
contig_81	18458	4
contig_85	6427	6
contig_87	3165	3
contig_88	6722	3
contig_84	23345	6
contig_86	19917	5
contig_90	3989	14
contig_108	6906	5
contig_110	10706	3
contig_111	26914	3
contig_115	2465	3
contig_114	6419	5
contig_113	7170	6
contig_116	2700	7
contig_117	4176	3
contig_109	17875	5
contig_120	11354	5
contig_119	3513	30
contig_89	33961	7
contig_112	35086	4
contig_123	14027	3
contig_124	6943	4
contig_121	4925	19
contig_100	33418	11
contig_132	1636	3
contig_125	14482	5
contig_122	30876	3
contig_126	18391	3
contig_133	12716	4
contig_136	2679	4
contig_127	16471	3
contig_137	2055	16
contig_134	10540	12
contig_118	43609	6
contig_138	4538	6
