#seq_name	length	coverage
contig_1	16210	4
contig_10	1671	9
contig_102	765	7
contig_106	3666	3
contig_107	5464	4
contig_108	3165	3
contig_109	6722	3
contig_110	23345	6
contig_111	6906	5
contig_112	10706	3
contig_113	35086	4
contig_114	7170	6
contig_115	2465	3
contig_116	2700	7
contig_117	4176	3
contig_118	11354	5
contig_119	3513	30
contig_120	4943	32
contig_121	26914	3
contig_122	56747	5
contig_123	14027	3
contig_124	6943	4
contig_125	14482	5
contig_126	18391	3
contig_127	3989	14
contig_128	16471	3
contig_129	21918	6
contig_13	5138	4
contig_130	13454	3
contig_134	7249	4
contig_135	27850	3
contig_136	12716	4
contig_137	14160	7
contig_138	2679	4
contig_139	2055	16
contig_14	10521	3
contig_140	4538	6
contig_141	7254	3
contig_142	9546	9
contig_143	7349	5
contig_144	3029	6
contig_147	12735	12
contig_15	16486	14
contig_150	2066	9
contig_151	2108	6
contig_152	10540	12
contig_153	6787	3
contig_154	10742	4
contig_155	3119	13
contig_156	2301	3
contig_157	29626	3
contig_158	14841	3
contig_159	28830	4
contig_16	40003	4
contig_160	11643	8
contig_161	28894	3
contig_162	12550	4
contig_165	13819	4
contig_166	2445	3
contig_167	9751	3
contig_17	27327	3
contig_170	33420	4
contig_171	15857	3
contig_172	3296	4
contig_173	10570	5
contig_174	2104	20
contig_175	31669	4
contig_176	3268	5
contig_177	15192	3
contig_178	5280	4
contig_179	36986	5
contig_18	11648	3
contig_180	38764	3
contig_181	36869	4
contig_182	2930	4
contig_183	5680	5
contig_184	5289	4
contig_187	11328	15
contig_188	8339	6
contig_189	7975	4
contig_19	38450	6
contig_190	5213	4
contig_191	31357	3
contig_192	4863	4
contig_193	5481	3
contig_194	13621	4
contig_195	15551	5
contig_196	2366	11
contig_197	14429	3
contig_198	7460	4
contig_199	5021	3
contig_2	11953	6
contig_200	4252	6
contig_201	23077	4
contig_202	10882	4
contig_203	22341	3
contig_204	9252	7
contig_205	3200	118
contig_206	3259	21
contig_207	3081	3
contig_208	16132	5
contig_209	2053	3
contig_21	14351	3
contig_210	12419	8
contig_211	13621	4
contig_212	9304	3
contig_213	17382	4
contig_214	8058	5
contig_215	11170	4
contig_216	14839	11
contig_217	5269	5
contig_218	7098	3
contig_219	5987	4
contig_22	23741	4
contig_220	4834	4
contig_221	3277	5
contig_222	12738	4
contig_223	10354	4
contig_224	14796	11
contig_225	4595	4
contig_226	8667	4
contig_227	2942	3
contig_228	2369	20
contig_229	2782	10
contig_23	2568	16
contig_230	9915	7
contig_231	3104	6
contig_232	11439	4
contig_234	2768	3
contig_235	43811	4
contig_237	2316	3
contig_238	18057	3
contig_239	7276	3
contig_24	6410	4
contig_240	5773	6
contig_241	3484	3
contig_242	3080	10
contig_243	15084	6
contig_244	14850	6
contig_245	19188	8
contig_246	15112	4
contig_247	16410	4
contig_248	20729	3
contig_249	9299	3
contig_250	14669	3
contig_251	16489	3
contig_252	2542	8
contig_253	4996	3
contig_254	10289	7
contig_255	16596	4
contig_256	16902	5
contig_257	5177	3
contig_258	2608	6
contig_259	14444	5
contig_26	15064	8
contig_260	7019	6
contig_261	14655	3
contig_262	2270	5
contig_263	2573	13
contig_264	45202	3
contig_265	3553	4
contig_266	4475	12
contig_267	12195	12
contig_268	4356	3
contig_269	4938	10
contig_27	20631	11
contig_270	14050	5
contig_271	20722	7
contig_272	4745	5
contig_273	8106	5
contig_274	2328	5
contig_275	37622	6
contig_276	2644	5
contig_277	7593	4
contig_278	17025	13
contig_279	2676	5
contig_28	9378	19
contig_280	8252	8
contig_281	2794	7
contig_282	5471	3
contig_283	2671	6
contig_284	12790	4
contig_285	30652	4
contig_286	3730	3
contig_287	16903	4
contig_288	23796	3
contig_289	11972	4
contig_29	10145	12
contig_290	30002	4
contig_291	26274	6
contig_293	5935	7
contig_294	35737	3
contig_295	1856	5
contig_296	17824	3
contig_297	3183	14
contig_299	7430	6
contig_3	1542	11
contig_30	12412	8
contig_300	26872	17
contig_301	33155	5
contig_302	30161	4
contig_303	34849	7
contig_305	7214	7
contig_306	36717	20
contig_307	9829	10
contig_31	6308	5
contig_32	17828	4
contig_33	14330	4
contig_34	17664	4
contig_35	6870	6
contig_36	15224	3
contig_37	12949	5
contig_38	2541	3
contig_39	35387	8
contig_4	40122	5
contig_41	885	3
contig_43	23051	4
contig_46	1197	6
contig_47	1529	17
contig_48	15742	6
contig_49	22921	4
contig_5	29287	4
contig_50	15262	6
contig_51	30876	3
contig_52	10155	17
contig_53	17160	9
contig_54	8251	5
contig_55	12636	11
contig_56	6876	10
contig_57	1193	25
contig_58	10204	25
contig_59	1908	15
contig_6	3789	7
contig_60	2965	100
contig_61	2862	39
contig_62	14511	15
contig_63	6419	5
contig_64	41832	8
contig_66	4285	6
contig_67	11522	6
contig_68	37518	7
contig_69	11272	5
contig_7	3229	4
contig_70	32839	3
contig_72	9962	4
contig_73	14555	3
contig_74	15402	4
contig_75	7055	4
contig_76	14345	7
contig_77	3181	4
contig_78	3385	8
contig_79	10767	5
contig_8	1336	4
contig_80	11581	3
contig_81	6779	5
contig_82	15628	6
contig_83	17875	5
contig_84	21022	3
contig_85	18458	4
contig_86	2791	3
contig_87	11490	3
contig_88	2539	18
contig_89	19917	5
contig_9	13043	9
contig_90	6427	6
contig_93	1367	4
contig_94	33961	7
contig_95	5081	7
contig_96	30820	12
